district,case_number,date,party,fine,n_fines,days_since_covid,case_type
ADAIR,CF-2016-00001,2016-03-30,15585611,50,1,-1447,CF
ADAIR,CF-2016-00011,2016-08-17,16420166,200,2,-1307,CF
ADAIR,CF-2016-00015,2018-08-30,16424019,500,2,-564,CF
ADAIR,CF-2016-00019,2016-03-10,12324720,500,1,-1467,CF
ADAIR,CF-2016-00024,2016-02-11,3310872,100,1,-1495,CF
ADAIR,CF-2016-00025,2016-03-10,12718605,500,1,-1467,CF
ADAIR,CF-2016-00068,2016-04-14,14794066,100,1,-1432,CF
ADAIR,CF-2016-00072,2016-04-06,15661617,500,1,-1440,CF
ADAIR,CF-2016-00078,2016-06-02,16491280,500,1,-1383,CF
ADAIR,CF-2016-00084,2016-04-14,11555985,500,1,-1432,CF
ADAIR,CF-2016-00092,2016-06-30,12305552,800,3,-1355,CF
ADAIR,CF-2016-00106,2016-05-19,10570607,660,4,-1397,CF
ADAIR,CF-2016-00109,2016-05-23,13386544,400,1,-1393,CF
ADAIR,CF-2016-00113,2016-06-02,13908719,400,2,-1383,CF
ADAIR,CF-2016-00115,2018-02-20,16535056,225,3,-755,CF
ADAIR,CF-2016-00119,2016-08-25,11032074,1800,10,-1299,CF
ADAIR,CF-2016-00128,2016-06-30,16567477,1000,1,-1355,CF
ADAIR,CF-2016-00133,2016-06-16,14918910,500,1,-1369,CF
ADAIR,CF-2016-00135,2016-10-20,10615843,500,1,-1243,CF
ADAIR,CF-2016-00139,2018-06-05,11101478,200,1,-650,CF
ADAIR,CF-2016-00144,2016-08-09,13189684,1100,2,-1315,CF
ADAIR,CF-2016-00170,2016-08-25,14753400,200,1,-1299,CF
ADAIR,CF-2016-00175,2016-08-25,13215030,555,3,-1299,CF
ADAIR,CF-2016-00177,2016-08-11,16656747,500,1,-1313,CF
ADAIR,CF-2016-00194,2016-09-15,16689444,600,2,-1278,CF
ADAIR,CF-2016-00199,2016-11-10,11986406,500,1,-1222,CF
ADAIR,CF-2016-00201,2016-09-16,14866463,1500,1,-1277,CF
ADAIR,CF-2016-00205,2018-07-05,12714903,200,1,-620,CF
ADAIR,CF-2016-00210,2016-09-22,15742862,1500,2,-1271,CF
ADAIR,CF-2016-00213,2016-09-22,12305552,1600,3,-1271,CF
ADAIR,CF-2016-00215,2017-01-03,16690815,200,1,-1168,CF
ADAIR,CF-2016-00217,2016-10-20,14742420,600,2,-1243,CF
ADAIR,CF-2016-00222,2016-12-01,13579515,1000,1,-1201,CF
ADAIR,CF-2016-00234,2017-02-16,11133065,200,1,-1124,CF
ADAIR,CF-2016-00242,2016-12-15,12215451,500,1,-1187,CF
ADAIR,CF-2016-00248,2016-12-08,12520458,200,1,-1194,CF
ADAIR,CF-2016-00254,2016-11-10,15564315,100,1,-1222,CF
ADAIR,CF-2016-00256,2016-11-17,11098879,200,2,-1215,CF
ADAIR,CF-2016-00257,2016-11-30,12019445,200,1,-1202,CF
ADAIR,CF-2016-00266,2016-11-18,11125299,300,1,-1214,CF
ADAIR,CF-2016-00267,2016-12-08,11999052,400,2,-1194,CF
ADAIR,CF-2016-00274,2017-04-13,16782326,200,1,-1068,CF
ADAIR,CF-2016-00276,2016-12-01,15483647,200,1,-1201,CF
ADAIR,CF-2016-00279,2017-01-05,16787198,1000,1,-1166,CF
ADAIR,CF-2016-00280,2017-01-12,15567056,1000,1,-1159,CF
ADAIR,CF-2016-00283,2017-01-26,16671856,100,1,-1145,CF
ADAIR,CF-2016-00294,2017-03-09,10570607,1000,1,-1103,CF
ADAIR,CF-2016-00300,2017-01-26,10603308,500,1,-1145,CF
ADAIR,CF-2016-00310,2017-03-09,14774470,100,1,-1103,CF
ADAIR,CF-2017-00001,2017-03-23,15342019,500,1,-1089,CF
ADAIR,CF-2017-00006,2018-05-03,11552383,1000,1,-683,CF
ADAIR,CF-2017-00019,2018-06-13,13164133,750,3,-642,CF
ADAIR,CF-2017-00023,2017-07-18,16630130,1000,1,-972,CF
ADAIR,CF-2017-00031,2017-04-27,13219707,100,1,-1054,CF
ADAIR,CF-2017-00034,2017-02-16,16059449,500,1,-1124,CF
ADAIR,CF-2017-00044,2017-03-02,10585068,100,1,-1110,CF
ADAIR,CF-2017-00046,2018-05-31,16881740,800,3,-655,CF
ADAIR,CF-2017-00059,2017-03-23,16897970,50,1,-1089,CF
ADAIR,CF-2017-00064,2017-04-19,13170834,500,1,-1062,CF
ADAIR,CF-2017-00068,2018-01-25,13694404,300,1,-781,CF
ADAIR,CF-2017-00086,2017-04-27,13219707,100,1,-1054,CF
ADAIR,CF-2017-00087,2017-04-27,11098879,200,1,-1054,CF
ADAIR,CF-2017-00092,2018-07-12,16943605,500,1,-613,CF
ADAIR,CF-2017-00100,2017-10-24,12552358,10,1,-874,CF
ADAIR,CF-2017-00101,2017-04-20,10581429,500,1,-1061,CF
ADAIR,CF-2017-00103,2017-04-27,11555985,500,1,-1054,CF
ADAIR,CF-2017-00107,2017-07-06,10587072,500,1,-984,CF
ADAIR,CF-2017-00119,2017-09-14,12021246,200,1,-914,CF
ADAIR,CF-2017-00121,2017-05-25,16976619,250,1,-1026,CF
ADAIR,CF-2017-00126,2017-08-17,16856793,200,1,-942,CF
ADAIR,CF-2017-00129,2017-08-24,10588792,500,1,-935,CF
ADAIR,CF-2017-00130,2018-05-16,16971406,200,1,-670,CF
ADAIR,CF-2017-00140,2017-07-13,13091918,500,1,-977,CF
ADAIR,CF-2017-00147,2017-07-06,16894064,300,1,-984,CF
ADAIR,CF-2017-00152,2017-08-17,16856793,200,1,-942,CF
ADAIR,CF-2017-00170,2017-07-27,12237260,200,1,-963,CF
ADAIR,CF-2017-00180,2017-08-24,10588792,500,1,-935,CF
ADAIR,CF-2017-00190,2017-09-21,13706860,100,1,-907,CF
ADAIR,CF-2017-00204,2018-08-16,17117069,600,2,-578,CF
ADAIR,CF-2017-00208,2017-09-14,13091918,500,1,-914,CF
ADAIR,CF-2017-00220,2018-01-11,15163954,200,1,-795,CF
ADAIR,CF-2017-00222,2018-01-30,15163999,500,1,-776,CF
ADAIR,CF-2017-00225,2017-10-26,12544681,500,1,-872,CF
ADAIR,CF-2017-00235,2018-01-16,11045026,100,1,-790,CF
ADAIR,CF-2017-00244,2019-01-24,12237475,400,1,-417,CF
