district,month,n,amount,since_covid,quarter
ADAIR,2016-01-01,401,37587.29,-1521,1
ADAIR,2016-04-01,363,29938.07,-1430,2
ADAIR,2016-07-01,363,29930.77,-1339,3
ADAIR,2016-10-01,328,26388.41,-1247,4
ADAIR,2017-01-01,384,35298.69,-1155,1
ADAIR,2017-04-01,349,31034.09,-1065,2
ADAIR,2017-07-01,326,25223.68,-974,3
ADAIR,2017-10-01,306,25395.43,-882,4
ADAIR,2018-01-01,325,30061.29,-790,1
ADAIR,2018-04-01,312,28782.49,-700,2
ADAIR,2018-07-01,342,30374.6,-609,3
ADAIR,2018-10-01,335,28980.09,-517,4
ADAIR,2019-01-01,385,40968.96,-425,1
ADAIR,2019-04-01,364,34266.89,-335,2
ADAIR,2019-07-01,364,34407.8,-244,3
ADAIR,2019-10-01,423,43702.56,-152,4
ADAIR,2020-01-01,427,43434.4,-60,1
ADAIR,2020-04-01,347,36942.5,31,2
ADAIR,2020-07-01,438,51029.92,122,3
ADAIR,2020-10-01,464,43314.16,214,4
ADAIR,2021-01-01,563,76691.1,306,1
ADAIR,2021-04-01,392,47196.82,396,2
ADAIR,2021-07-01,183,23247.62,487,3
ADAIR,2021-10-01,170,20347.01,579,4
ADAIR,2022-01-01,178,33033.96,671,1
CANADIAN,2016-01-01,1258,146617.47,-1521,1
CANADIAN,2016-04-01,1199,133568.81,-1430,2
CANADIAN,2016-07-01,1331,139629,-1339,3
CANADIAN,2016-10-01,1323,134411.41,-1247,4
CANADIAN,2017-01-01,1338,142735.38,-1155,1
CANADIAN,2017-04-01,1340,149351.53,-1065,2
CANADIAN,2017-07-01,1340,138212.69,-974,3
CANADIAN,2017-10-01,1542,139892.76,-882,4
CANADIAN,2018-01-01,1688,170888.26,-790,1
CANADIAN,2018-04-01,1751,152885.31,-700,2
CANADIAN,2018-07-01,1854,162184.8,-609,3
CANADIAN,2018-10-01,1954,169495.76,-517,4
CANADIAN,2019-01-01,2078,196897.02,-425,1
CANADIAN,2019-04-01,2258,205072.28,-335,2
CANADIAN,2019-07-01,2428,223913.84,-244,3
CANADIAN,2019-10-01,2417,201217.15,-152,4
CANADIAN,2020-01-01,2464,208483.33,-60,1
CANADIAN,2020-04-01,2173,186699.01,31,2
CANADIAN,2020-07-01,2099,186657.17,122,3
CANADIAN,2020-10-01,2031,166041.03,214,4
CANADIAN,2021-01-01,2400,233913.55,306,1
CANADIAN,2021-04-01,1965,228467.82,396,2
CANADIAN,2021-07-01,1085,105384.76,487,3
CANADIAN,2021-10-01,1194,91116.35,579,4
CANADIAN,2022-01-01,1246,120520.71,671,1
CLEVELAND,2016-01-01,3532,402271.53,-1521,1
CLEVELAND,2016-04-01,3203,345540.38,-1430,2
CLEVELAND,2016-07-01,3333,332103.79,-1339,3
CLEVELAND,2016-10-01,3026,265358.78,-1247,4
CLEVELAND,2017-01-01,3359,337212.76,-1155,1
CLEVELAND,2017-04-01,3243,328467.3,-1065,2
CLEVELAND,2017-07-01,3320,347511.3,-974,3
CLEVELAND,2017-10-01,3292,317576.6,-882,4
CLEVELAND,2018-01-01,3382,364542.71,-790,1
CLEVELAND,2018-04-01,3266,332435.13,-700,2
CLEVELAND,2018-07-01,3231,331101.14,-609,3
CLEVELAND,2018-10-01,3229,326649.85,-517,4
CLEVELAND,2019-01-01,3390,366962.88,-425,1
CLEVELAND,2019-04-01,3344,350426.94,-335,2
CLEVELAND,2019-07-01,3429,343399.05,-244,3
CLEVELAND,2019-10-01,3314,356205.87,-152,4
CLEVELAND,2020-01-01,3360,382522.52,-60,1
